depth_m	ice_age_year_bp	delta_d_per_ml	temp_variation_degc	temp_c
670	42758	-469.8	-6.13	-60.46666667
671	42837	-468.7	-5.95	-60.28333333
672	42916	-468.3	-5.88	-60.21666667
673	42994	-468.6	-5.93	-60.26666667
674	43073	-467.8	-5.8	-60.13333333
675	43150	-466.2	-5.53	-59.86666667
676	43226	-466	-5.5	-59.83333333
677	43304	-469.3	-6.04	-60.38333333
678	43385	-471.8	-6.45	-60.8
679	43464	-465.6	-5.42	-59.76666667
680	43540	-465.9	-5.47	-59.81666667
681	43619	-473.2	-6.68	-61.03333333
682	43702	-472.7	-6.6	-60.95
683	43785	-472	-6.48	-60.83333333
684	43868	-474.8	-6.94	-61.3
685	43952	-474.4	-6.88	-61.23333333
686	44036	-473.5	-6.72	-61.08333333
687	44120	-475.1	-6.99	-61.35
688	44206	-476.8	-7.27	-61.63333333
689	44292	-474.8	-6.94	-61.3
690	44377	-475	-6.97	-61.33333333
691	44463	-478.3	-7.51	-61.88333333
692	44551	-476	-7.13	-61.5
693	44634	-470.1	-6.15	-60.51666667
694	44715	-472.5	-6.55	-60.91666667
695	44800	-477.9	-7.44	-61.81666667
696	44887	-475.5	-7.04	-61.41666667
697	44972	-473.3	-6.68	-61.05
698	45055	-473.6	-6.72	-61.1
699	45139	-473.4	-6.69	-61.06666667
700	45225	-477.7	-7.4	-61.78333333
701	45315	-482.3	-8.16	-62.55
702	45407	-480.8	-7.91	-62.3
703	45497	-479.2	-7.64	-62.03333333
704	45587	-481	-7.94	-62.33333333
705	45677	-477.6	-7.38	-61.76666667
706	45762	-472.6	-6.55	-60.93333333
707	45846	-474.9	-6.93	-61.31666667
708	45932	-475.4	-7.01	-61.4
709	46018	-475.5	-7.02	-61.41666667
710	46104	-477.7	-7.39	-61.78333333
711	46193	-477.7	-7.38	-61.78333333
712	46281	-478.2	-7.47	-61.86666667
713	46370	-478.5	-7.51	-61.91666667
714	46457	-476.3	-7.15	-61.55
715	46543	-474.1	-6.78	-61.18333333
716	46628	-474.8	-6.9	-61.3
717	46713	-474.9	-6.91	-61.31666667
718	46797	-472.3	-6.48	-60.88333333
719	46881	-473.7	-6.71	-61.11666667
720	46966	-475	-6.92	-61.33333333
721	47050	-473.5	-6.67	-61.08333333
722	47133	-471.2	-6.29	-60.7
723	47214	-469	-5.92	-60.33333333
724	47295	-470.5	-6.17	-60.58333333
725	47378	-473.9	-6.73	-61.15
726	47462	-472.8	-6.55	-60.96666667
727	47546	-474.2	-6.78	-61.2
728	47631	-475.5	-6.99	-61.41666667
729	47716	-471.7	-6.36	-60.78333333
730	47798	-471.2	-6.28	-60.7
731	47881	-474	-6.74	-61.16666667
732	47966	-474.7	-6.85	-61.28333333
733	48050	-472.3	-6.46	-60.88333333
734	48134	-473.5	-6.65	-61.08333333
735	48218	-472.5	-6.49	-60.91666667
736	48300	-469.7	-6.02	-60.45
737	48381	-469.9	-6.05	-60.48333333
738	48461	-468.4	-5.8	-60.23333333
739	48541	-468.6	-5.83	-60.26666667
740	48622	-471.2	-6.26	-60.7
741	48704	-471.8	-6.36	-60.8
742	48787	-472.5	-6.48	-60.91666667
743	48870	-472	-6.39	-60.83333333
744	48953	-471.1	-6.24	-60.68333333
745	49034	-468.2	-5.76	-60.2
746	49113	-468.3	-5.77	-60.21666667
747	49193	-469	-5.89	-60.33333333
748	49272	-466.7	-5.51	-59.95
749	49350	-466.7	-5.51	-59.95
750	49430	-469	-5.89	-60.33333333
751	49510	-469.5	-5.97	-60.41666667
752	49591	-470.1	-6.07	-60.51666667
753	49672	-468.3	-5.78	-60.21666667
754	49750	-465.4	-5.3	-59.73333333
755	49828	-467.1	-5.58	-60.01666667
756	49907	-467.2	-5.6	-60.03333333
757	49985	-464.7	-5.18	-59.61666667
758	50061	-463.8	-5.03	-59.46666667
759	50138	-466.3	-5.45	-59.88333333
760	50217	-467.8	-5.7	-60.13333333
761	50295	-465.8	-5.37	-59.8
762	50374	-466.8	-5.54	-59.96666667
763	50452	-466.8	-5.54	-59.96666667
764	50531	-467.5	-5.65	-60.08333333
765	50610	-467	-5.57	-60
766	50688	-464.7	-5.19	-59.61666667
767	50766	-467.9	-5.72	-60.15
768	50847	-470	-6.07	-60.5
769	50928	-468.9	-5.89	-60.31666667
770	51009	-468	-5.74	-60.16666667
771	51086	-463	-4.91	-59.33333333
772	51159	-456.1	-3.77	-58.18333333
773	51230	-459.5	-4.34	-58.75
774	51306	-465.8	-5.38	-59.8
775	51384	-467.1	-5.6	-60.01666667
776	51465	-470.8	-6.21	-60.63333333
777	51549	-473.1	-6.6	-61.01666667
778	51633	-472.1	-6.43	-60.85
779	51715	-466.3	-5.47	-59.88333333
780	51794	-467	-5.59	-60
781	51874	-469.6	-6.02	-60.43333333
782	51955	-466.8	-5.56	-59.96666667
783	52034	-466.8	-5.56	-59.96666667
784	52114	-468.3	-5.81	-60.21666667
785	52195	-468.5	-5.84	-60.25
786	52275	-466.7	-5.55	-59.95
787	52352	-463.6	-5.03	-59.43333333
788	52430	-467	-5.6	-60
789	52511	-470.2	-6.13	-60.53333333
790	52594	-470.8	-6.23	-60.63333333
791	52679	-473.7	-6.71	-61.11666667
792	52763	-470.3	-6.15	-60.55
793	52846	-470	-6.1	-60.5
794	52931	-475	-6.93	-61.33333333
795	53019	-476.5	-7.18	-61.58333333
796	53107	-475.8	-7.07	-61.46666667
797	53193	-471.5	-6.36	-60.75
798	53275	-467.2	-5.65	-60.03333333
799	53355	-466.6	-5.55	-59.93333333
800	53436	-469.6	-6.05	-60.43333333
801	53520	-473.2	-6.65	-61.03333333
802	53606	-473.2	-6.65	-61.03333333
803	53692	-472.6	-6.55	-60.93333333
804	53775	-469.5	-6.04	-60.41666667
805	53858	-470.6	-6.22	-60.6
806	53942	-472.2	-6.49	-60.86666667
807	54026	-470.1	-6.14	-60.51666667
808	54111	-472.9	-6.6	-60.98333333
809	54198	-475.6	-7.06	-61.43333333
810	54286	-475	-6.96	-61.33333333
811	54372	-471.6	-6.4	-60.76666667
812	54457	-472.4	-6.53	-60.9
813	54544	-474	-6.8	-61.16666667
814	54629	-470.2	-6.17	-60.53333333
815	54713	-471.3	-6.35	-60.71666667
816	54797	-470.9	-6.29	-60.65
817	54881	-471.3	-6.36	-60.71666667
818	54967	-473.4	-6.71	-61.06666667
819	55052	-471	-6.31	-60.66666667
820	55136	-470.1	-6.16	-60.51666667
821	55218	-466.6	-5.58	-59.93333333
822	55297	-465.1	-5.34	-59.68333333
823	55377	-467	-5.65	-60
824	55457	-465.6	-5.42	-59.76666667
825	55536	-464.3	-5.21	-59.55
826	55615	-465.6	-5.43	-59.76666667
827	55694	-466.3	-5.54	-59.88333333
828	55775	-467.9	-5.81	-60.15
829	55855	-464.4	-5.23	-59.56666667
830	55933	-461.8	-4.8	-59.13333333
831	56009	-463.5	-5.09	-59.41666667
832	56087	-462.7	-4.95	-59.28333333
833	56163	-461.2	-4.71	-59.03333333
834	56239	-462.5	-4.92	-59.25
835	56317	-463.6	-5.11	-59.43333333
836	56394	-461.5	-4.76	-59.08333333
837	56471	-463.5	-5.09	-59.41666667
838	56548	-463.5	-5.1	-59.41666667
839	56624	-459	-4.35	-58.66666667
840	56698	-459.4	-4.42	-58.73333333
841	56774	-462.2	-4.88	-59.2
842	56850	-459.7	-4.47	-58.78333333
843	56922	-455.1	-3.71	-58.01666667
844	56993	-454.9	-3.68	-57.98333333
845	57065	-457.9	-4.18	-58.48333333
846	57139	-460.1	-4.54	-58.85
847	57215	-461.2	-4.73	-59.03333333
848	57289	-456.9	-4.01	-58.31666667
849	57362	-457.1	-4.05	-58.35
850	57436	-461.9	-4.85	-59.15
851	57513	-461.9	-4.85	-59.15
852	57590	-462	-4.86	-59.16666667
853	57669	-467.5	-5.78	-60.08333333
854	57750	-465.9	-5.51	-59.81666667
855	57828	-460.7	-4.65	-58.95
856	57905	-462.7	-4.98	-59.28333333
857	57981	-460.7	-4.65	-58.95
858	58057	-460.5	-4.62	-58.91666667
859	58133	-462.2	-4.9	-59.2
860	58211	-462.6	-4.96	-59.26666667
861	58286	-458.4	-4.27	-58.56666667
862	58360	-458.1	-4.22	-58.51666667
863	58436	-462.4	-4.93	-59.23333333
864	58514	-464.1	-5.21	-59.51666667
865	58594	-466.8	-5.66	-59.96666667
866	58676	-468	-5.86	-60.16666667
867	58759	-469.2	-6.06	-60.36666667
868	58842	-468.4	-5.93	-60.23333333
869	58925	-467.9	-5.85	-60.15
870	59008	-469.1	-6.04	-60.35
871	59093	-471.3	-6.41	-60.71666667
872	59178	-470.7	-6.31	-60.61666667
873	59262	-468	-5.86	-60.16666667
874	59345	-467.9	-5.85	-60.15
875	59428	-469	-6.03	-60.33333333
876	59511	-468	-5.86	-60.16666667
877	59593	-466	-5.53	-59.83333333
878	59674	-466	-5.53	-59.83333333
879	59755	-466	-5.53	-59.83333333
880	59836	-467.7	-5.81	-60.11666667
881	59921	-471.8	-6.49	-60.8
882	60007	-472	-6.53	-60.83333333
883	60093	-469.7	-6.15	-60.45
884	60177	-469.5	-6.11	-60.41666667
885	60262	-470	-6.2	-60.5
886	60348	-471.5	-6.45	-60.75
887	60433	-470.6	-6.3	-60.6
888	60519	-470.5	-6.28	-60.58333333
889	60605	-472	-6.53	-60.83333333
890	60692	-472.3	-6.58	-60.88333333
891	60779	-472.5	-6.61	-60.91666667
892	60869	-476.7	-7.31	-61.61666667
893	60961	-477.7	-7.48	-61.78333333
894	61052	-474.7	-6.98	-61.28333333
895	61141	-473.7	-6.81	-61.11666667
896	61229	-472	-6.53	-60.83333333
897	61317	-474.1	-6.88	-61.18333333
898	61406	-474	-6.86	-61.16666667
899	61496	-474.8	-7	-61.3
900	61586	-476.4	-7.26	-61.56666667
901	61677	-474	-6.86	-61.16666667
902	61765	-471.8	-6.5	-60.8
903	61852	-472.4	-6.6	-60.9
904	61941	-474.8	-7	-61.3
905	62031	-475.4	-7.1	-61.4
906	62121	-475.1	-7.05	-61.35
907	62213	-477.5	-7.44	-61.75
908	62307	-479.2	-7.72	-62.03333333
909	62401	-478.7	-7.64	-61.95
910	62497	-481.4	-8.09	-62.4
911	62594	-481	-8.02	-62.33333333
912	62689	-478.9	-7.67	-61.98333333
913	62783	-478.1	-7.54	-61.85
914	62877	-477.9	-7.51	-61.81666667
915	62970	-477.9	-7.51	-61.81666667
916	63064	-477.9	-7.51	-61.81666667
917	63157	-477.9	-7.51	-61.81666667
918	63249	-475.5	-7.11	-61.41666667
919	63338	-471.4	-6.43	-60.73333333
920	63424	-470.4	-6.26	-60.56666667
921	63512	-473.9	-6.84	-61.15
922	63600	-472.8	-6.66	-60.96666667
923	63688	-471.3	-6.41	-60.71666667
924	63776	-473.8	-6.83	-61.13333333
925	63865	-473.8	-6.82	-61.13333333
926	63954	-473.6	-6.79	-61.1
927	64043	-474.5	-6.94	-61.25
928	64134	-476.5	-7.27	-61.58333333
929	64228	-479.1	-7.7	-62.01666667
930	64322	-478.2	-7.55	-61.86666667
931	64416	-477.3	-7.4	-61.71666667
932	64510	-480.4	-7.91	-62.23333333
933	64605	-477.5	-7.43	-61.75
934	64698	-477.9	-7.49	-61.81666667
935	64793	-480.8	-7.97	-62.3
936	64890	-480.5	-7.92	-62.25
937	64987	-482	-8.17	-62.5
938	65085	-480.9	-7.98	-62.31666667
939	65182	-480.7	-7.95	-62.28333333
940	65278	-479.6	-7.76	-62.1
941	65371	-476.5	-7.25	-61.58333333
942	65464	-478	-7.49	-61.83333333
943	65559	-479.3	-7.71	-62.05
944	65655	-482	-8.15	-62.5
945	65756	-486.2	-8.85	-63.2
946	65855	-479.6	-7.75	-62.1
947	65949	-477.5	-7.4	-61.75
948	66045	-482.4	-8.21	-62.56666667
949	66144	-483	-8.31	-62.66666667
950	66243	-481.5	-8.06	-62.41666667
951	66338	-477.1	-7.33	-61.68333333
952	66429	-474.4	-6.88	-61.23333333
953	66520	-475.6	-7.07	-61.43333333
954	66613	-479.6	-7.73	-62.1
955	66708	-479.8	-7.76	-62.13333333
956	66803	-478.5	-7.54	-61.91666667
957	66898	-479.7	-7.73	-62.11666667
958	66992	-478	-7.44	-61.83333333
959	67085	-476.7	-7.22	-61.61666667
960	67178	-478.2	-7.47	-61.86666667
961	67272	-479.2	-7.63	-62.03333333
962	67367	-478.6	-7.52	-61.93333333
963	67462	-480.3	-7.8	-62.21666667
964	67557	-479.8	-7.71	-62.13333333
965	67653	-480.7	-7.86	-62.28333333
966	67750	-482.5	-8.15	-62.58333333
967	67848	-481.9	-8.04	-62.48333333
968	67945	-481	-7.89	-62.33333333
969	68041	-479	-7.55	-62
970	68136	-480.5	-7.8	-62.25
971	68233	-483.4	-8.27	-62.73333333
972	68330	-479.7	-7.65	-62.11666667
973	68424	-478.5	-7.45	-61.91666667
974	68520	-481.9	-8.01	-62.48333333
975	68617	-481.5	-7.94	-62.41666667
976	68715	-483.1	-8.2	-62.68333333
977	68811	-479.5	-7.59	-62.08333333
978	68902	-472.1	-6.36	-60.85
979	68987	-468.8	-5.81	-60.3
980	69071	-470.7	-6.12	-60.61666667
981	69155	-467.7	-5.62	-60.11666667
982	69238	-468.5	-5.75	-60.25
983	69324	-474.2	-6.69	-61.2
984	69413	-475.6	-6.92	-61.43333333
985	69506	-479.4	-7.54	-62.06666667
986	69599	-478.1	-7.33	-61.85
987	69691	-476	-6.97	-61.5
988	69780	-473.5	-6.55	-61.08333333
989	69869	-474.7	-6.75	-61.28333333
990	69959	-478.1	-7.31	-61.85
991	70054	-481.3	-7.84	-62.38333333
992	70149	-480.6	-7.72	-62.26666667
993	70243	-476.6	-7.05	-61.6
994	70334	-476.8	-7.08	-61.63333333
995	70425	-477.9	-7.26	-61.81666667
996	70515	-473.5	-6.52	-61.08333333
997	70600	-468.4	-5.67	-60.23333333
998	70683	-468.4	-5.67	-60.23333333
999	70766	-468.4	-5.67	-60.23333333
1000	70848	-468.4	-5.66	-60.23333333
1001	70931	-468.4	-5.66	-60.23333333
1002	71013	-468.7	-5.7	-60.28333333
1003	71096	-469	-5.75	-60.33333333
1004	71180	-470.1	-5.93	-60.51666667
1005	71264	-470.5	-5.99	-60.58333333
1006	71347	-467.2	-5.44	-60.03333333
1007	71427	-465.5	-5.15	-59.75
1008	71506	-462.2	-4.6	-59.2
1009	71584	-466.4	-5.3	-59.9
1010	71664	-465.8	-5.2	-59.8
1011	71743	-463.5	-4.81	-59.41666667
1012	71822	-466.8	-5.36	-59.96666667
1013	71905	-471.5	-6.13	-60.75
1014	71989	-468	-5.55	-60.16666667
1015	72070	-467	-5.38	-60
1016	72152	-468.9	-5.69	-60.31666667
1017	72235	-469.6	-5.81	-60.43333333
1018	72318	-469.7	-5.82	-60.45
1019	72403	-472.5	-6.28	-60.91666667
1020	72489	-474	-6.53	-61.16666667
1021	72578	-476.2	-6.89	-61.53333333
1022	72666	-473.2	-6.39	-61.03333333
1023	72753	-474.7	-6.64	-61.28333333
1024	72840	-470.7	-5.97	-60.61666667
1025	72922	-466.6	-5.29	-59.93333333
1026	73003	-469.5	-5.77	-60.41666667
1027	73087	-470.9	-6	-60.65
1028	73172	-472.8	-6.31	-60.96666667
1029	73258	-473.6	-6.44	-61.1
1030	73347	-477.6	-7.1	-61.76666667
1031	73440	-481.9	-7.81	-62.48333333
1032	73533	-476.8	-6.96	-61.63333333
1033	73620	-471.6	-6.1	-60.76666667
1034	73706	-474.7	-6.61	-61.28333333
1035	73795	-477.8	-7.12	-61.8
1036	73885	-476.2	-6.85	-61.53333333
1037	73973	-473.8	-6.45	-61.13333333
1038	74060	-474.5	-6.56	-61.25
1039	74150	-478.2	-7.17	-61.86666667
1040	74238	-473	-6.31	-61
1041	74322	-470.6	-5.91	-60.6
1042	74405	-468.9	-5.62	-60.31666667
1043	74484	-463.6	-4.74	-59.43333333
1044	74565	-471.4	-6.03	-60.73333333
1045	74651	-476.8	-6.92	-61.63333333
1046	74738	-470.5	-5.87	-60.58333333
1047	74821	-470.4	-5.85	-60.56666667
1048	74903	-469.4	-5.68	-60.4
1049	74985	-469	-5.61	-60.33333333
1050	75066	-467.8	-5.41	-60.13333333
1051	75147	-469.7	-5.72	-60.45
1052	75229	-467.9	-5.42	-60.15
1053	75308	-466.1	-5.12	-59.85
1054	75388	-467.3	-5.32	-60.05
1055	75468	-467.9	-5.41	-60.15
1056	75547	-466.2	-5.13	-59.86666667
1057	75625	-463.4	-4.66	-59.4
1058	75701	-462.6	-4.53	-59.26666667
1059	75776	-461.8	-4.39	-59.13333333
1060	75850	-461.6	-4.35	-59.1
1061	75928	-468	-5.41	-60.16666667
1062	76007	-465.5	-5	-59.75
1063	76084	-464.5	-4.83	-59.58333333
1064	76162	-466.9	-5.23	-59.98333333
1065	76239	-461.7	-4.37	-59.11666667
1066	76313	-459.8	-4.05	-58.8
1067	76388	-464.3	-4.8	-59.55
1068	76465	-466	-5.08	-59.83333333
1069	76543	-466.5	-5.16	-59.91666667
1070	76622	-466.9	-5.22	-59.98333333
1071	76700	-465.1	-4.92	-59.68333333
1072	76777	-463.6	-4.67	-59.43333333
1073	76854	-466.1	-5.09	-59.85
1074	76933	-468.6	-5.5	-60.26666667
1075	77014	-468.4	-5.47	-60.23333333
1076	77094	-468.1	-5.42	-60.18333333
1077	77175	-471	-5.9	-60.66666667
1078	77259	-473.6	-6.33	-61.1
1079	77345	-475.9	-6.71	-61.48333333
1080	77433	-478.5	-7.14	-61.91666667
1081	77521	-475.2	-6.59	-61.36666667
1082	77606	-470.5	-5.81	-60.58333333
1083	77687	-470.2	-5.76	-60.53333333
1084	77769	-470.5	-5.81	-60.58333333
1085	77853	-474.4	-6.45	-61.23333333
1086	77938	-474.8	-6.52	-61.3
1087	78025	-475.4	-6.62	-61.4
1088	78113	-479.4	-7.28	-62.06666667
1089	78200	-472	-6.06	-60.83333333
1090	78277	-458.5	-3.82	-58.58333333
1091	78353	-469.9	-5.71	-60.48333333
1092	78437	-476.4	-6.79	-61.56666667
1093	78522	-472.4	-6.12	-60.9
1094	78606	-473.6	-6.32	-61.1
1095	78690	-472	-6.06	-60.83333333
1096	78772	-470.3	-5.78	-60.55
1097	78854	-470.9	-5.87	-60.65
1098	78937	-473.1	-6.24	-61.01666667
1099	79020	-471.1	-5.91	-60.68333333
1100	79098	-464.4	-4.8	-59.56666667
1101	79174	-464.4	-4.8	-59.56666667
1102	79251	-465.6	-5	-59.76666667
1103	79327	-464.2	-4.76	-59.53333333
1104	79402	-461.6	-4.33	-59.1
1105	79478	-468.2	-5.43	-60.2
1106	79557	-468.6	-5.5	-60.26666667
1107	79636	-467	-5.23	-60
1108	79714	-465.2	-4.93	-59.7
1109	79791	-467.3	-5.28	-60.05
1110	79870	-468.1	-5.41	-60.18333333
1111	79947	-465.3	-4.95	-59.71666667
1112	80020	-457.5	-3.66	-58.41666667
1113	80093	-464.8	-4.87	-59.63333333
1114	80173	-473.9	-6.38	-61.15
1115	80257	-472.3	-6.11	-60.88333333
1116	80341	-474	-6.39	-61.16666667
1117	80422	-468.1	-5.41	-60.18333333
1118	80498	-462.3	-4.45	-59.21666667
1119	80572	-461.1	-4.25	-59.01666667
1120	80645	-462	-4.4	-59.16666667
1121	80719	-464.1	-4.75	-59.51666667
1122	80794	-464.1	-4.75	-59.51666667
1123	80869	-462.6	-4.5	-59.26666667
1124	80943	-463.6	-4.67	-59.43333333
1125	81019	-465.2	-4.93	-59.7
1126	81096	-466.8	-5.2	-59.96666667
1127	81170	-459.8	-4.04	-58.8
1128	81240	-455.3	-3.29	-58.05
1129	81309	-458.8	-3.87	-58.63333333
1130	81381	-462.3	-4.45	-59.21666667
1131	81453	-458.9	-3.89	-58.65
1132	81523	-455.5	-3.33	-58.08333333
1133	81592	-458.3	-3.79	-58.55
1134	81662	-458.3	-3.79	-58.55
1135	81732	-458.4	-3.81	-58.56666667
1136	81802	-458	-3.74	-58.5
1137	81872	-457.9	-3.73	-58.48333333
1138	81942	-458.5	-3.83	-58.58333333
1139	82012	-456.4	-3.48	-58.23333333
1140	82080	-456.9	-3.56	-58.31666667
1141	82148	-453.6	-3.01	-57.76666667
1142	82213	-450.7	-2.54	-57.28333333
1143	82280	-457.4	-3.65	-58.4
1144	82352	-464.6	-4.85	-59.6
1145	82427	-463	-4.59	-59.33333333
1146	82500	-461.3	-4.31	-59.05
1147	82573	-462.6	-4.53	-59.26666667
1148	82647	-463.9	-4.75	-59.48333333
1149	82721	-461	-4.27	-59
1150	82792	-458	-3.78	-58.5
1151	82860	-453.9	-3.1	-57.81666667
1152	82925	-449.8	-2.42	-57.13333333
1153	82990	-453.1	-2.98	-57.68333333
1154	83055	-450.7	-2.58	-57.28333333
1155	83121	-456	-3.46	-58.16666667
1156	83190	-458.7	-3.92	-58.61666667
1157	83261	-458.8	-3.94	-58.63333333
1158	83331	-458.8	-3.94	-58.63333333
1159	83401	-457.3	-3.7	-58.38333333
1160	83470	-456.8	-3.62	-58.3
1161	83538	-454.7	-3.27	-57.95
1162	83608	-461.4	-4.39	-59.06666667
1163	83679	-457.3	-3.71	-58.38333333
1164	83747	-454.4	-3.23	-57.9
1165	83814	-454.2	-3.2	-57.86666667
1166	83881	-456.2	-3.54	-58.2
1167	83952	-460.9	-4.32	-58.98333333
1168	84025	-462.8	-4.64	-59.3
1169	84097	-460.5	-4.27	-58.91666667
1170	84168	-458.3	-3.91	-58.55
1171	84238	-458.3	-3.91	-58.55
1172	84308	-458.3	-3.92	-58.55
1173	84378	-458.8	-4.01	-58.63333333
1174	84448	-457.3	-3.76	-58.38333333
1175	84515	-449.8	-2.53	-57.13333333
1176	84576	-444.4	-1.64	-56.23333333
1177	84638	-450.5	-2.65	-57.25
1178	84703	-452.7	-3.03	-57.61666667
1179	84770	-455.1	-3.43	-58.01666667
1180	84838	-455.4	-3.49	-58.06666667
1181	84905	-454.2	-3.29	-57.86666667
1182	84971	-451.9	-2.92	-57.48333333
1183	85036	-450.2	-2.64	-57.2
1184	85100	-449.2	-2.48	-57.03333333
1185	85164	-451.8	-2.92	-57.46666667
1186	85229	-453	-3.12	-57.66666667
1187	85296	-453.6	-3.23	-57.76666667
1188	85361	-450.3	-2.69	-57.21666667
1189	85425	-450	-2.64	-57.16666667
1190	85489	-448.9	-2.47	-56.98333333
1191	85551	-448.1	-2.34	-56.85
1192	85615	-450.3	-2.71	-57.21666667
1193	85680	-452	-3	-57.5
1194	85746	-455.2	-3.53	-58.03333333
1195	85814	-454.5	-3.42	-57.91666667
1196	85881	-455.1	-3.53	-58.01666667
1197	85949	-455	-3.51	-58
1198	86016	-454.2	-3.38	-57.86666667
1199	86083	-454.2	-3.38	-57.86666667
1200	86150	-454.2	-3.38	-57.86666667
1201	86218	-455.7	-3.63	-58.11666667
1202	86286	-456.5	-3.76	-58.25
1203	86355	-455.8	-3.64	-58.13333333
1204	86423	-456.6	-3.78	-58.26666667
1205	86492	-457.4	-3.91	-58.4
1206	86562	-460	-4.34	-58.83333333
1207	86635	-463.2	-4.87	-59.36666667
1208	86707	-457.9	-3.99	-58.48333333
1209	86777	-460.1	-4.35	-58.85
1210	86848	-458.8	-4.14	-58.63333333
1211	86919	-458.7	-4.12	-58.61666667
1212	86989	-459	-4.17	-58.66666667
1213	87060	-460.4	-4.4	-58.9
1214	87132	-460.9	-4.49	-58.98333333
1215	87203	-460.3	-4.39	-58.88333333
1216	87274	-457.1	-3.86	-58.35
1217	87342	-454.7	-3.46	-57.95
1218	87410	-458.9	-4.15	-58.65
1219	87482	-463	-4.83	-59.33333333
1220	87554	-460.1	-4.35	-58.85
1221	87624	-456.8	-3.8	-58.3
1222	87695	-461.3	-4.55	-59.05
1223	87766	-459.7	-4.28	-58.78333333
1224	87837	-458.8	-4.13	-58.63333333
1225	87907	-459.3	-4.21	-58.71666667
1226	87978	-460.7	-4.43	-58.95
1227	88049	-460.7	-4.43	-58.95
1228	88122	-462.9	-4.79	-59.31666667
1229	88196	-465	-5.13	-59.66666667
1230	88271	-465	-5.12	-59.66666667
1231	88345	-465	-5.12	-59.66666667
1232	88420	-465	-5.11	-59.66666667
1233	88495	-465	-5.1	-59.66666667
1234	88570	-464.8	-5.07	-59.63333333
1235	88644	-464.6	-5.03	-59.6
1236	88719	-464.9	-5.07	-59.65
1237	88793	-464.1	-4.93	-59.51666667
1238	88866	-463.7	-4.86	-59.45
1239	88938	-459.1	-4.09	-58.68333333
1240	89008	-459.2	-4.1	-58.7
1241	89077	-459.3	-4.11	-58.71666667
1242	89148	-462.6	-4.65	-59.26666667
1243	89221	-464.2	-4.91	-59.53333333
1244	89296	-466.8	-5.34	-59.96666667
1245	89373	-469.4	-5.76	-60.4
1246	89450	-466.2	-5.23	-59.86666667
1247	89523	-463	-4.69	-59.33333333
1248	89597	-465.5	-5.1	-59.75
1249	89672	-467.5	-5.43	-60.08333333
1250	89748	-467.5	-5.42	-60.08333333
1251	89825	-467.5	-5.41	-60.08333333
1252	89900	-465.4	-5.06	-59.73333333
1253	89973	-463.2	-4.69	-59.36666667
1254	90048	-468.8	-5.61	-60.3
1255	90128	-475.3	-6.68	-61.38333333
1256	90209	-470.9	-5.94	-60.65
1257	90286	-467.3	-5.34	-60.05
1258	90362	-468.8	-5.58	-60.3
1259	90440	-469.7	-5.73	-60.45
1260	90517	-470	-5.77	-60.5
1261	90594	-466.5	-5.18	-59.91666667
1262	90668	-466.1	-5.11	-59.85
1263	90740	-460.4	-4.16	-58.9
1264	90812	-465.5	-5	-59.75
1265	90885	-464.3	-4.79	-59.55
1266	90959	-465.7	-5.02	-59.78333333
1267	91033	-465.6	-4.99	-59.76666667
1268	91107	-466.8	-5.19	-59.96666667
1269	91182	-467	-5.21	-60
1270	91258	-470.1	-5.72	-60.51666667
1271	91336	-470.7	-5.81	-60.61666667
1272	91411	-464.2	-4.73	-59.53333333
1273	91480	-457	-3.53	-58.33333333
1274	91547	-457.5	-3.61	-58.41666667
1275	91615	-460.2	-4.05	-58.86666667
1276	91685	-460.7	-4.12	-58.95
1277	91753	-459.1	-3.85	-58.68333333
1278	91823	-463.7	-4.61	-59.45
1279	91896	-465.2	-4.85	-59.7
1280	91968	-463.6	-4.59	-59.43333333
1281	92040	-465.1	-4.83	-59.68333333
1282	92114	-466.7	-5.1	-59.95
1283	92187	-464.4	-4.71	-59.56666667
1284	92259	-463.4	-4.54	-59.4
1285	92329	-460.1	-3.99	-58.85
1286	92398	-460.9	-4.12	-58.98333333
1287	92470	-465.8	-4.94	-59.8
1288	92542	-464.8	-4.77	-59.63333333
1289	92617	-468.9	-5.45	-60.31666667
1290	92690	-463.7	-4.58	-59.45
1291	92759	-456.1	-3.32	-58.18333333
1292	92827	-461.9	-4.28	-59.15
1293	92897	-463	-4.46	-59.33333333
1294	92967	-460.6	-4.06	-58.93333333
1295	93037	-461.1	-4.14	-59.01666667
1296	93107	-464	-4.62	-59.5
1297	93180	-467.2	-5.15	-60.03333333
1298	93254	-464.5	-4.7	-59.58333333
1299	93325	-463.2	-4.48	-59.36666667
1300	93397	-464.5	-4.69	-59.58333333
1301	93468	-463	-4.44	-59.33333333
1302	93540	-465.9	-4.92	-59.81666667
1303	93615	-470.1	-5.61	-60.51666667
1304	93690	-464.5	-4.68	-59.58333333
1305	93761	-462	-4.27	-59.16666667
1306	93829	-457.1	-3.45	-58.35
1307	93895	-456	-3.27	-58.16666667
1308	93961	-457.1	-3.45	-58.35
1309	94026	-455.9	-3.25	-58.15
1310	94093	-459.7	-3.88	-58.78333333
1311	94164	-466.3	-4.97	-59.88333333
1312	94238	-466.3	-4.97	-59.88333333
1313	94311	-465.5	-4.84	-59.75
1314	94382	-461.2	-4.12	-59.03333333
1315	94450	-458.4	-3.66	-58.56666667
1316	94517	-457.5	-3.51	-58.41666667
